production_order_id,material_id,plant,planned_qty,actual_qty,unit,prod_start_date,prod_end_date,std_cost_pen_per_kg
PP20250033,MAT007,CHI01,17040.668926964536,19008.46884814499,KG,2025-05-09,2025-05-14,5.02
PP20250034,MAT008,CHI01,24958.443859359548,24947.135407465936,KG,2025-09-01,2025-09-10,6.64
PP20250035,MAT003,CHI01,22.197997601900262,21.30608245629015,TM,2025-01-27,2025-02-04,5.49
PP20250036,MAT006,ARE01,22516.789357119487,24048.933628595314,KG,2025-01-17,2025-01-21,6.37
PP20250037,MAT011,CHI01,23100.2169118908,19049.288997334446,KG,2025-07-29,2025-08-01,6.76
PP20250038,MAT012,LIM01,14.587333170913693,12.71030044406013,TM,2025-06-07,2025-06-09,5.31
PP20250039,MAT010,ARE01,20507.967684396583,24070.62233967923,KG,2025-06-06,2025-06-07,6.0
PP20250040,MAT009,ARE01,28876.772863113158,27915.031449026224,KG,2025-04-02,2025-04-09,2.53
PP20250041,MAT003,ECU01,14181.197629309558,13722.49804879545,KG,2025-06-03,2025-06-04,4.17
PP20250042,MAT007,CHI01,23909.243723863754,24471.40006000029,KG,2025-05-19,2025-05-21,4.96
PP20250043,MAT011,BOL01,6.881348127496594,6.816014400315723,TM,2025-05-09,2025-05-18,5.39
PP20250044,MAT004,CHI01,29.41999090999368,26.77626193880725,TM,2025-08-28,2025-08-31,4.58
PP20250045,MAT001,ARE01,28880.595222283497,30566.003260843197,KG,2025-02-23,2025-02-28,4.53
PP20250046,MAT001,CHI01,13.39603241459384,12.904524690243491,TM,2025-02-07,2025-02-08,4.86
PP20250047,MAT007,CHI01,5.364502168564307,5.446638733634439,TM,2025-08-18,2025-08-19,4.16
PP20250048,MAT002,ARE01,18.35777602509339,19.006243181467713,TM,2025-08-20,2025-08-26,3.16
PP20250049,MAT010,CHI01,16.31549134793379,14.151788484783669,TM,2025-05-09,2025-05-12,5.8
PP20250050,MAT004,ECU01,8.234926409182805,8.47718050478134,TM,2025-04-24,2025-04-28,3.01
PP20250051,MAT007,ECU01,13040.96428539821,12376.739707183528,KG,2025-07-09,2025-07-14,4.78
PP20250052,MAT003,CHI01,17323.583729247,18165.741359185587,KG,2025-08-22,2025-08-28,5.34
PP20250053,MAT003,ARE01,23.45590922248412,21.56499252652354,TM,2025-03-20,2025-03-28,3.02
PP20250054,MAT012,BOL01,5766.826831618914,5435.234051819663,KG,2025-01-29,2025-02-01,3.92
PP20250055,MAT009,CHI01,11351.895201595678,12006.87543214796,KG,2025-04-20,2025-04-26,6.63
PP20250056,MAT012,BOL01,23697.412379319878,19363.22708421036,KG,2025-09-21,2025-09-27,2.77
PP20250057,MAT007,BOL01,17385.61947099956,17160.746487200733,KG,2025-04-12,2025-04-17,6.36
PP20250058,MAT007,CHI01,19.898979657599444,22.03899284936414,TM,2025-02-14,2025-02-18,3.17
PP20250059,MAT004,ARE01,20.61483420261894,19.85242891800778,TM,2025-03-03,2025-03-07,3.85
