period,material_id,market,forecast_qty,unit,projected_unit_cost_usd_per_kg
2025-07-01,MAT004,Honduras,14.495123320890196,TM,1.07
2025-08-01,MAT004,Ecuador,8678.042735290774,KG,1.28
2025-08-01,MAT004,Honduras,10942.231671609397,KG,1.49
2025-08-01,MAT004,Chile,7.392858256405653,TM,1.56
2025-08-01,MAT004,Bolivia,6.470155841712094,TM,1.27
2025-10-01,MAT004,Ecuador,8.765085033351372,TM,0.89
2025-12-01,MAT004,Ecuador,8.784192203652005,TM,1.11
2025-12-01,MAT004,Chile,8.431843911490958,TM,1.44
2025-03-01,MAT005,Honduras,10041.955665595877,KG,1.33
2025-03-01,MAT005,Bolivia,11.548892716304353,TM,0.93
2025-04-01,MAT005,Honduras,4.189099201883754,TM,0.91
2025-05-01,MAT005,Honduras,5.673102593321766,TM,1.23
2025-07-01,MAT005,Honduras,8779.168753682325,KG,1.19
2025-08-01,MAT005,Bolivia,12220.042708913006,KG,1.3
2025-09-01,MAT005,Perú,6.641392374188421,TM,1.22
2025-11-01,MAT005,Perú,10474.357254715327,KG,1.44
2025-12-01,MAT005,Honduras,6.666685297247326,TM,0.87
2025-01-01,MAT006,Chile,15.383110163801078,TM,1.17
2025-01-01,MAT006,Perú,10866.750001506121,KG,1.07
2025-03-01,MAT006,Chile,10392.292563734634,KG,1.18
2025-03-01,MAT006,Honduras,8.41624708802706,TM,1.5
2025-04-01,MAT006,Honduras,8.326685962031728,TM,1.4
2025-04-01,MAT006,Ecuador,5905.775043395303,KG,0.98
2025-05-01,MAT006,Chile,10008.979873599868,KG,1.4
2025-05-01,MAT006,Ecuador,12773.073271562302,KG,1.12
2025-05-01,MAT006,Honduras,7.135624548607535,TM,1.41
2025-06-01,MAT006,Ecuador,9681.45420813227,KG,1.39
2025-07-01,MAT006,Chile,6295.560739265565,KG,1.05
2025-07-01,MAT006,Perú,14.764828321447787,TM,1.82
2025-09-01,MAT006,Chile,10156.5199559726,KG,1.1
2025-10-01,MAT006,Honduras,14.4160436994704,TM,1.32
2025-12-01,MAT006,Bolivia,6512.7136595802085,KG,1.61
2025-12-01,MAT006,Perú,11588.240221377166,KG,0.64
2025-12-01,MAT006,Ecuador,8551.629523826065,KG,1.64
2025-01-01,MAT007,Honduras,7361.471114023172,KG,1.29
2025-03-01,MAT007,Chile,10445.881285908494,KG,1.33
2025-04-01,MAT007,Perú,5221.617220835416,KG,1.27
2025-04-01,MAT007,Bolivia,13910.695203424262,KG,1.65
2025-05-01,MAT007,Ecuador,8847.262261358288,KG,1.51
2025-06-01,MAT007,Bolivia,10.306093891721723,TM,1.54
2025-07-01,MAT007,Ecuador,8315.550919651349,KG,1.23
2025-08-01,MAT007,Perú,8775.000511519993,KG,0.74
2025-09-01,MAT007,Honduras,6631.694703187015,KG,1.23
2025-10-01,MAT007,Honduras,10.981029606367944,TM,1.21
2025-10-01,MAT007,Ecuador,9.23617549070191,TM,0.9
2025-11-01,MAT007,Bolivia,3.707647127169575,TM,1.12
2025-12-01,MAT007,Ecuador,8764.751746946053,KG,0.86
2025-01-01,MAT008,Perú,8407.070486332856,KG,1.22
2025-02-01,MAT008,Chile,11.057881611751517,TM,1.34
2025-03-01,MAT008,Ecuador,7.718473455785906,TM,1.19
2025-05-01,MAT008,Ecuador,10878.801470491873,KG,1.16
2025-06-01,MAT008,Bolivia,10.772921262763482,TM,0.73
2025-07-01,MAT008,Ecuador,12629.63081224456,KG,1.32
2025-07-01,MAT008,Chile,13.736904880515619,TM,0.75
2025-10-01,MAT008,Ecuador,11283.389194741398,KG,1.04
2025-11-01,MAT008,Perú,11.119156955302534,TM,1.21
2025-11-01,MAT008,Honduras,16687.82083166792,KG,1.49
2025-02-01,MAT009,Bolivia,7826.166845446827,KG,1.34
2025-05-01,MAT009,Honduras,3357.437886870992,KG,1.56
2025-06-01,MAT009,Honduras,9.540922371381361,TM,0.99
2025-07-01,MAT009,Chile,11653.575186105083,KG,0.73
2025-09-01,MAT009,Honduras,5.84067324018942,TM,1.15
2025-10-01,MAT009,Bolivia,7571.541043321701,KG,0.79
2025-11-01,MAT009,Ecuador,8726.611870654306,KG,1.56
2025-12-01,MAT009,Chile,6559.503753497677,KG,1.01
2025-12-01,MAT009,Bolivia,9.93194417402306,TM,0.88
2025-01-01,MAT010,Honduras,7676.044431213811,KG,1.29
2025-01-01,MAT010,Bolivia,10.024845729873782,TM,0.76
2025-04-01,MAT010,Honduras,13.297574666643438,TM,1.71
2025-04-01,MAT010,Chile,11818.873468326125,KG,1.51
2025-06-01,MAT010,Ecuador,9.575813493568594,TM,1.04
2025-06-01,MAT010,Chile,13382.064284927268,KG,0.92
2025-08-01,MAT010,Ecuador,6.2528200879658415,TM,1.06
2025-08-01,MAT010,Chile,9.727387211122112,TM,1.14
2025-09-01,MAT010,Honduras,18428.706910289176,KG,1.11
2025-09-01,MAT010,Perú,2967.1063186339684,KG,1.31
2025-10-01,MAT010,Honduras,8.645846647106815,TM,0.81
2025-10-01,MAT010,Perú,13233.530067235544,KG,0.95
2025-01-01,MAT011,Chile,10.598905053734544,TM,1.36
2025-04-01,MAT011,Ecuador,11966.854183514148,KG,1.62
2025-04-01,MAT011,Honduras,7.410443012967169,TM,0.79
2025-05-01,MAT011,Honduras,14812.687314055041,KG,0.85
2025-07-01,MAT011,Honduras,10.284480579191127,TM,0.55
2025-09-01,MAT011,Chile,11529.462123328354,KG,0.5
2025-10-01,MAT011,Honduras,10169.234701508713,KG,0.67
2025-11-01,MAT011,Bolivia,3.8868144767958466,TM,0.86
2025-12-01,MAT011,Bolivia,8846.34966994625,KG,1.01
2025-01-01,MAT012,Bolivia,11.17603281209727,TM,1.17
2025-01-01,MAT012,Perú,8.241845080073324,TM,1.01
2025-02-01,MAT012,Bolivia,8.407534515611058,TM,1.06
2025-03-01,MAT012,Ecuador,12.989664653495211,TM,1.29
2025-03-01,MAT012,Honduras,7605.539926735499,KG,1.32
2025-05-01,MAT012,Honduras,11468.151816815227,KG,1.22
2025-07-01,MAT012,Honduras,11.665437045834492,TM,0.96
2025-08-01,MAT012,Honduras,10.203013774188129,TM,1.26
2025-09-01,MAT012,Honduras,16.619575921421205,TM,1.33
2025-09-01,MAT012,Perú,9.24381155378993,TM,1.11
2025-11-01,MAT012,Chile,12.612468311099917,TM,0.66
